A|ア
Aachen|アーヘン
Aaliyah|アリーヤ
Aardsma|アーズマ
Aardwolf|アードウルフ
Aashram|アーシュラム
Aashram|アシュラム
Abaca|アバカ
Abacavir|アバカビル
Abahn|アバン
Abandoneds|アバンダンズ
Abandoned|アバンダンド
Abbazia|アバッツィア
Abbe|アッベ
Abbess|アベス
Abbey|アビー
Abbey|アベー
Abdessalam|アブデッサラーム
Abdiqassim|アブドゥルカシム
Abdominal|アブドミナル
Abdou|アブドゥ
Abdoulaye|アブドライエ
Abduction|アブダクション
Abdurrahman|アブドラフマン
Abebe|アベベ
Abel|アベル
Abelia|アベリア
Abell|エーベル
Abenamar|アベナマル
Abend|アーベント
Abercrombie|アバークロンビー
Abercrombie|アバクロンビー
Aberdare|アバデア
Aberdeen|アバディーン
Aberdeenshire|アバディーンシア
Aberration|アベラシオン
Abgrund|アプグルント
Abhayagiri|アバヤギリ
Abhayo|アバヤ
Abhidharma|アビダルマ
Abidjan|アビジャン
Abies|アビエス
Abigail|アビガイル
Abilita|アビリタ
Ability|アビリティ
Ability|アビリティー
Abimael|アビマエル
Abingdon|アビングドン
Abingdon|アビンドン
Abishag|アビシャグ
Abita|アビタ
Abitax|アビタックス
Abitur|アビトゥア
Abject|アブジェクト
Abjection|アブジェクション
Abkhazia|アブハジア
Abkhazia|アプハジア
Ablaut|アプラウト
Able|アブル
Able|エーブル
Abnormal|アブノーマル
Aboards|アボーズ
Aboard|アボード
Abolition|アポリション
Abolitionist|アボリショニスト
Abominable|アボミナブル
Abondant|アボンダン
Aborigine|アボリジニ
Aborigine|アボリジニー
About|アバウト
Abraham|アブラハム
Abraham|エーブラハム
Abrahamson|アブラハンソン
Abreu|アブレーユ
Absalom|アブサロム
Abseilen|アップザイレン
Abseilen|アプザイレン
Absent|アブセント
Absenteeism|アブセンティズム
Absinthe|アブサン
Absinthe|アブサント
Absinthe|アプサント
Absolute|アブソリュート
Absolute|アブソルート
Absolutism|アブソリューティズム
Absorber|アブソーバ
Absorber|アブソーバー
Abstract|アブストラクト
Abstract|アブストラクツ
Abt|アブト
Abt|アプト
Abu|アブ
Abueva|アブエバ
Abuja|アブジャ
Abul|アブル
Abuse|アビュース
Abuse|アビューズ
Abut|アバット
Abwehr|アブベール
Abwehr|アプベア
