A|ア
Aachen|アーヘン
Aaliyah|アリーヤ
Aardsma|アーズマ
Aardwolf|アードウルフ
Aashram|アーシュラム
Aashram|アシュラム
Abaca|アバカ
Abacavir|アバカビル
Abahn|アバン
Abandoned|アバンダンド
Abbe|アッベ
Abbess|アベス
Abbey|アビー
Abbey|アベー
Abdominal|アブドミナル
Abdou|アブドゥ
Abduction|アブダクション
Abebe|アベベ
Abel|アベル
Abelia|アベリア
Abell|エーベル
Abend|アーベント
Abercrombie|アバークロンビー
Abercrombie|アバクロンビー
Aberdare|アバデア
Aberdeen|アバディーン
Aberration|アベラシオン
Abhayagiri|アバヤギリ
Abhayo|アバヤ
Abhidharma|アビダルマ
Abidjan|アビジャン
Abies|アビエス
Abigail|アビガイル
Ability|アビリティ
Ability|アビリティー
Abimael|アビマエル
Abingdon|アビングドン
Abingdon|アビンドン
Abishag|アビシャグ
Abita|アビタ
Abitur|アビトゥア
Abject|アブジェクト
Abkhazia|アブハジア
Ablaut|アプラウト
Able|アブル
Able|エーブル
Abnormal|アブノーマル
Aboard|アボード
Abolitionist|アボリショニスト
Abominable|アボミナブル
Abondant|アボンダン
Aborigine|アボリジニ
Aborigine|アボリジニー
About|アバウト
Abraham|アブラハム
Abraham|エーブラハム
Absalom|アブサロム
Abseilen|アプザイレン
Absent|アブセント
Absenteeism|アブセンティズム
Absinthe|アブサン
Absinthe|アブサント
Absinthe|アプサント
Absolute|アブソリュート
Absolute|アブソルート
Absorber|アブソーバ
Absorber|アブソーバー
Abstract|アブストラクト
Abstract|アブストラクツ
Abt|アブト
Abt|アプト
Abu|アブ
Abuja|アブジャ
Abul|アブル
Abuse|アビュース
Abuse|アビューズ
Abut|アバット
Abydos|アビドス
Abydos|アビュドス
Abyss|アビス
Abyssinia|アビシニア
Abyssinian|アビシニアン
Acacia|アカシア
Acacia|アカシヤ
Academia|アカデミア
Academic|アカデミック
Academician|アカデミシャン
Academism|アカデミズム
Academy|アカデミー
Acanthus|アカンサス
Acanthus|アカントス
Acapulco|アカプルコ
Acarine|アカリン
Accelerando|アッチェレランド
Accelerate|アクセラレート
Accelerater|アクセル
Acceleration|アクセラレーション
Accelerator|アクセラレータ
Accelerator|アクセラレーター
Accent|アクセント
Accent|アクサン
Accept|アクセプト
